category,id,name,price,description,ingredients,allergens,image
antipasti,307352,Tartare di Controfiletto Irlandese con Senape al Miele e Frutta Fresca,12.00,"Preparato con carne cruda di controfiletto di manzo irlandese, tagliata finemente a coltello e servita con cubetti di frutta fresca. La delicatezza della carne si fonde con la freschezza della frutta, creando un'esperienza gastronomica unica, accompagnata dalla nota saporita e delicata della senape al miele.",,Senape,assets/dishcovery-images/307352_Tartare_di_Controfiletto_Irlandese_con_Senape_al_Miele_e_Frutta_Fresca.jpeg
antipasti,307633,Acciughe del Mar Cantabrico e Burrata,11.00,"Le acciughe del Mar Cantabrico sono considerate tra le migliori al mondo per la loro qualità e sapore unico. In questo antipasto, la cremosità della Burrata si fonde con il sapore salato delle acciughe, creando un contrasto di sapori equilibrato e delizioso. Il pane croccante e il burro aggiungono morbidezza e completano l'esperienza gustativa.",,"Pesce, Latte e derivati",assets/dishcovery-images/307633_Acciughe_del_Mar_Cantabrico_e_Burrata.jpeg
antipasti,307611,Bruciatini,8.00,"I Bruciatini sono un piatto tipico della tradizione culinaria della Romagna, a base di radicchio fresco e pancetta cotta in padella con aceto balsamico. Questi ingredienti vengono abilmente combinati per creare un'esplosione di sapori e profumi unici della cucina romagnola. Il radicchio fresco, croccante e leggermente amarognolo, si sposa perfettamente con la dolcezza della pancetta cotta e il sapore acidulo dell'aceto balsamico, creando un equilibrio di sapori unico. Il nome ""Bruciatini"" deriva dal fatto che la pancetta viene cotta fino a diventare croccante e bruciata, aggiungendo una nota croccante al piatto.",,,
antipasti,493656,Flan di Zucca e Porri su Crema di Gorgonzola,8.00,"La polpa di zucca e i porri vengono combinati in una crema morbida e aromatica, che viene cotta in piccole porzioni. Il flan viene servito su una crema di Gorgonzola, che conferisce un sapore deciso e cremosità al piatto. Questa combinazione di sapori rende il piatto un'esplosione di sapori e consistenze, con la dolcezza della zucca e dei porri che si fondono perfettamente con il sapore intenso e piccante del formaggio.",,Latte e derivati,assets/dishcovery-images/493656_Flan_di_Zucca_e_Porri_su_Crema_di_Gorgonzola.jpeg
antipasti,307614,Selezione Di Affettati Tipici Con Piadina Romagnola,10.00,"Questo piatto consiste in una scelta di affettati locali come salame, pancetta, prosciutto e mortadella, accompagnati da una piadina romagnola calda e morbida. La piadina è un tipo di pane piatto originario della Romagna, a base di farina, acqua, sale e lievito, cotta su una teglia di terracotta detta ""testo"".","Salame, Prosciutto di Parma, Pancetta, Mortadella, Piadina","Glutine, Latte e derivati",
antipasti,307616,Degustazione di Formaggi del Territorio e Piadina Romagnola,10.00,"Un' esperienza gastronomica che permette di assaporare alcuni dei formaggi più pregiati e tipici della Romagna, accompagnati dalla classica piadina romagnola, il pane tipico della regione. Tra i formaggi degustati, ci sono il formaggio di Fossa di Sogliano DOP, un formaggio a pasta semi-dura dal sapore intenso e dal profumo caratteristico; lo Squacquerone DOP, un formaggio fresco e cremoso che si scioglie in bocca; il Scoparolo, un formaggio semiduro dal sapore deciso e piccante; e infine il Pecorino Romagnolo, un formaggio a base di latte di pecora dal sapore deciso e speziato. La piadina romagnola, invece, è il pane tipico della regione, preparato con farina, acqua, strutto e sale e cotto su una padella in ghisa. È un alimento versatile che si presta ad essere farcito con ogni tipo di ingrediente, ma si sposa perfettamente con i formaggi della degustazione.","Pecorino, Scoparolo, Pecorino di Fossa di Sogliano, Squacquerone DOP","Glutine, Latte e derivati",assets/dishcovery-images/307616_Degustazione_di_Formaggi_del_Territorio_e_Piadina_Romagnola.jpeg
antipasti,307627,Cozze alla Tarantina,12.00,"Le cozze alla tarantina sono un piatto tradizionale della Puglia, preparato con le migliori cozze del Mediterraneo. Le cozze vengono aperte e cotte con una salsa leggermente piccante a base di pomodoro, aglio, prezzemolo e peperoncino. Questo piatto rappresenta un'esplosione di sapori, che si fondono perfettamente insieme per creare un'esperienza culinaria autentica","Cozze, Pomodoro, Aglio, Prezzemolo",Molluschi,assets/dishcovery-images/307627_Cozze_alla_Tarantina.jpeg
primi,307635,Tagliatelle al Ragù della Nonna Franca,10.00,"Le Tagliatelle al Ragù della Nonna Franca sono un piatto profondamente radicato nella tradizione culinaria romagnola. Questo piatto è un omaggio ai sapori autentici e alla semplicità rustica della regione. Le tagliatelle, fatte in casa con amore e cura, sono il letto perfetto per un ragù lento e ricco, cucinato pazientemente per ore. Il ragù è un connubio di carne macinata di qualità, soffritto di verdure fresche e una salsa di pomodoro che si addensa e si arricchisce di sapore durante la lunga cottura. Servite calde, con una generosa spolverata di Parmigiano Reggiano, le Tagliatelle al Ragù della Nonna Franca sono un piatto che riscalda il cuore e celebra la convivialità della tavola romagnola","Sedano, Cipolla, Pasta fresca all’uovo, Carne di manzo e maiale, Carota","Sedano, Glutine, Uova e derivati",assets/dishcovery-images/307635_Tagliatelle_al_Rag_della_Nonna_Franca.jpeg
primi,307643,"Cappelletti al Crudo di Parma, Ciliegini e Pesto di Rucola",12.00,,"Prosciutto Crudo, Farina, Pasta fresca all’uovo, Grana, Carne bollito","Glutine, Uova e derivati, Latte e derivati",assets/dishcovery-images/307643_Cappelletti_al_Crudo_di_Parma_Ciliegini_e_Pesto_di_Rucola.jpeg
primi,304039,Cappelletti al Ragù della Nonna Franca,12.00,"I cappelletti sono un piatto tipico della cucina dell'Emilia-Romagna, in particolare della Romagna. Sono una pasta ripiena a forma di cappello ripiena di carne o formaggio e serviti in brodo o con sugo. Spesso vengono confusi con i tortellini, ma hanno una forma leggermente diversa e sono tipici di un'altra regione, ovvero l'Emilia.","Grana Padano, Ricotta, Uova, Farina di tipo 1, maiale, Sale, pollo, Pepe","Sedano, Glutine, Uova e derivati, Latte e derivati",assets/dishcovery-images/304039_Cappelletti_al_Rag_della_Nonna_Franca.jpeg
